title,price,rating,reviews,availability
Amazon Essentials Women's Pointed-Toe Ballet Flat,,4.2 out of 5 stars,"10,494 ratings",
Under Armour Men's Charged Assert 9 Running Shoe,,4.6 out of 5 stars,"59,399 ratings",Not Available
adidas Men's Daily 3.0 Sneaker,,4.7 out of 5 stars,"15,720 ratings",Not Available
Hey Dude Mens Wally Sox,,4.7 out of 5 stars,"132,853 ratings",Not Available
New Balance Men's 608 V5 Casual Comfort Cross Trainer,,4.6 out of 5 stars,"77,522 ratings",Not Available
Bruno Marc Men's KnitFlex Craft Mesh Oxfords Sneakers Casual Dress Lace-Up Lightweight Walking Shoes,,4.7 out of 5 stars,323 ratings,Not Available
Skechers Mens Classic Fit Delson-Camden,,4.6 out of 5 stars,"31,449 ratings",Not Available
adidas Men's Kaptir 3.0,,4.4 out of 5 stars,888 ratings,Not Available
Skechers Mens Afterburn M fit Wonted,,4.5 out of 5 stars,"33,252 ratings",Not Available
Skechers women's Ghenter Bronaugh Food Service Shoe,,4.4 out of 5 stars,"23,634 ratings",Not Available
Reebok Men's BB4500 Hi 2 Sneaker,,4.5 out of 5 stars,"19,027 ratings",Not Available
Nike Men's Low Neck top,,4.5 out of 5 stars,"8,205 ratings",Not Available
VILOCY Men's Mesh Dress Sneakers Oxfords Business Casual Walking Shoes Tennis Comfortable,,4.4 out of 5 stars,"6,207 ratings",Not Available
Cole Haan Men's Original Grand Shortwing Oxford,,4.5 out of 5 stars,"13,639 ratings",Not Available
Columbia Women's Newton Ridge Lightweight Waterproof Shoe Hiking Boot,,4.6 out of 5 stars,"28,285 ratings",Not Available
Skechers Mens Moreno Canvas Oxford,,4.4 out of 5 stars,"12,882 ratings",Not Available
Columbia men's Bahama Vent Relaxed Pfg Boat Shoe,,4.5 out of 5 stars,61 ratings,Not Available
WHITIN Men's Do-It-All Slip On Loafers | Foam-Cushioned Footbed | Ultralight Flex Sole,,4.4 out of 5 stars,447 ratings,In Stock
Bruno Marc Men's Hands Free Slip-on Walking Shoes Casual Breathable Comfortable Knit Sneaker,,4.7 out of 5 stars,15 ratings,In Stock
Wide Barefoot Minimalist Shoes for Men Women Width Fashion Sneaker Wide Toe Box Shoes Men Cross-Trainer Lightweight Walking Casual Comfortable Running Shoes,,5.0 out of 5 stars,1 rating,In Stock
Mens Air Running Shoes Tennis Breathable Athletic Sneakers Lightweight Sport Fitness Workout Gym Jogging Walking Shoes,,4.5 out of 5 stars,6 ratings,In Stock
CAMVAVSR Men's Sneakers Lightweight Fashion Casual Running Tennis Shoes for Walking,,4.3 out of 5 stars,"1,229 ratings",Only 4 left in stock - order soon.
